Instrument Name,Cash,Futures,Quantity,Capital,Max Loss Per Stock,Max Profit Per Stock
DHFL,TRUE,,1,,0.4,0.5
KPIT,TRUE,,1,,0.4,0.5
ZEEL,TRUE,,1,,0.4,0.5
RELCAPITAL,TRUE,,1,,0.4,0.5
JETAIRWAYS,TRUE,,1,,0.4,0.5
YESBANK,TRUE,,1,,0.4,0.5
RELINFRA,TRUE,,1,,0.4,0.5
IBULHSGFIN,TRUE,,1,,0.4,0.5
ADANIENT,TRUE,,1,,0.4,0.5
STAR,TRUE,,1,,0.4,0.5
DLF,TRUE,,1,,0.4,0.5
JINDALSTEL,TRUE,,1,,0.4,0.5
VEDL,TRUE,,1,,0.4,0.5
MOTHERSUMI,TRUE,,1,,0.4,0.5
ADANIPORTS,TRUE,,1,,0.4,0.5
IRB,TRUE,,1,,0.4,0.5
CANBK,TRUE,,1,,0.4,0.5
EQUITAS,TRUE,,1,,0.4,0.5
L&TFH,TRUE,,1,,0.4,0.5
SUNPHARMA,TRUE,,1,,0.4,0.5
BHARTIARTL,TRUE,,1,,0.4,0.5
INFRATEL,TRUE,,1,,0.4,0.5
BANKBARODA,TRUE,,1,,0.4,0.5
PFC,TRUE,,1,,0.4,0.5
JSWSTEEL,TRUE,,1,,0.4,0.5
RECLTD,TRUE,,1,,0.4,0.5
PETRONET,TRUE,,1,,0.4,0.5
TATAMOTORS,TRUE,,1,,0.4,0.5
EXIDEIND,TRUE,,1,,0.4,0.5
HINDPETRO,TRUE,,1,,0.4,0.5
APOLLOTYRE,TRUE,,1,,0.4,0.5
KTKBANK,TRUE,,1,,0.4,0.5
CASTROLIND,TRUE,,1,,0.4,0.5
ICICIBANK,TRUE,,1,,0.4,0.5
IGL,TRUE,,1,,0.4,0.5
TATASTEEL,TRUE,,1,,0.4,0.5
HINDALCO,TRUE,,1,,0.4,0.5
AMBUJACEM,TRUE,,1,,0.4,0.5
SBIN,TRUE,,1,,0.4,0.5
BPCL,TRUE,,1,,0.4,0.5
GAIL,TRUE,,1,,0.4,0.5
AXISBANK,TRUE,,1,,0.4,0.5
DABUR,TRUE,,1,,0.4,0.5
WIPRO,TRUE,,1,,0.4,0.5
