Trading Symbol,Margin Multiplier,ATR %,Change %,Take,Slab
IBULHSGFIN,13,10.699263111045087454113582380,0,Y,0
INFRATEL,13,6.2754812163809838776353865200,0,Y,0
JINDALSTEL,13,5.4449758455108302718589272600,0,Y,0
AUROPHARMA,13,4.8749995488657668140563183600,0,Y,0
TATAMOTORS,13,4.4032452081991410295461468200,0,Y,0
MFSL,13,4.2102818492685466377440347100,0,Y,0
INDIGO,13,4.0474496350508355949150121400,0,Y,0
INDUSINDBK,13,3.8224088678604985651557583900,0,Y,0
HINDPETRO,13,3.7924168685934449093444909300,0,Y,0
CANBK,13,3.718574187532485913905792200,0,Y,0
BPCL,13,3.6463932897577125072943007200,0,Y,0
CASTROLIND,13,3.4523222435849539473684210500,0,Y,0
LICHSGFIN,13,3.3788077270046032707450030300,0,Y,0
SUNPHARMA,13,3.2737548190039584032203958400,0,Y,0
CIPLA,13,3.1708989399758805355303810500,0,Y,0
COALINDIA,13,3.0273947668989216683621566600,0,Y,0
