Trading Symbol,Margin Multiplier
IBULHSGFIN19SEPFUT,30
RBLBANK19SEPFUT,30
JINDALSTEL19SEPFUT,30
TATAMOTORS19SEPFUT,30
DLF19SEPFUT,30
L&TFH19SEPFUT,30
CANBK19SEPFUT,30
ESCORTS19SEPFUT,30
TVSMOTOR19SEPFUT,30
MOTHERSUMI19SEPFUT,30
M&MFIN19SEPFUT,30
BANKBARODA19SEPFUT,30
JSWSTEEL19SEPFUT,30
TATASTEEL19SEPFUT,30
ZEEL19SEPFUT,30
HINDPETRO19SEPFUT,30
VEDL19SEPFUT,30
LICHSGFIN19SEPFUT,30
SUNPHARMA19SEPFUT,30
UPL19SEPFUT,30
BPCL19SEPFUT,30
RECLTD19SEPFUT,30
COALINDIA19SEPFUT,30
INDUSINDBK19SEPFUT,30
GRASIM19SEPFUT,30
BHARTIARTL19SEPFUT,30
JUBLFOOD19SEPFUT,30
HINDALCO19SEPFUT,30
M&M19SEPFUT,30
SBIN19SEPFUT,30
